	first	answer	prediction	bert	bleu
0	第一条　（基本原則）　１　私権は、公共の福祉に適	合しなければならない。	合しなければならない。	1.000000238418579	100.00000000000004
1	第一条　（基本原則）　２　権利の行使及び義務の履行は、信義	に従い誠実に行わなければならない。	に従い誠実に行わなければならない。	1.0	100.00000000000004
2	第一条　（基本原則）　３　権利の濫用は、	これを許さない。	これを許さない。	0.9999998211860657	100.00000000000004
3	第二条　（解釈の基準）　１　この法律は、個人の尊厳と両性の本質的平	等を旨として、解釈しなければならない。	等を基準として解釈される。	0.8126901388168335	14.320952289897711
4	第三条　　１　私権の享有は、	出生に始まる。	人格に伴いて、発生する。	0.7497274875640869	6.567274736060395
5	第三条　　２　外国人は、法令又は条約の規定により禁	止される場合を除き、私権を享有する。	止されることのない限り、日本においては日本国民と同一の法規制を受ける。	0.7263339757919312	4.34373789135831
6	第三条の二　　１　法律行為の当事者が意思表示をした時に意思能力を	有しなかったときは、その法律行為は、無効とする。	欠くときには、その法律行為は、無効とする。	0.9507728815078735	72.10179410842102
7	第四条　（成年）　１　年齢十八歳をもっ	て、成年とする。	て成年とする。	0.960193932056427	57.89300674674101
8	第五条　（未成年者の法律行為）　１　未成年者が法律行為をするには、その法	定代理人の同意を得なければならない。	律行為が詐欺によらず本人の利益に供しない限り、法定代理人の同意を要する。	0.7447361350059509	16.76784955078518
9	第五条　（未成年者の法律行為）　１　ただし、単に権利を得、又は義務を免れ	る法律行為については、この限りでない。	る法律行為は、未成年者が行うことができる。	0.7829651832580566	13.912311644176565
10	第五条　（未成年者の法律行為）　２　前項の規定に反する法律行為	は、取り消すことができる。	は、無効である。	0.8614187240600586	15.207218222740094
11	第五条　（未成年者の法律行為）　３　第一項の規定にかかわらず、法定代理人が目的を定めて処分を許した財産	は、その目的の範囲内において、未成年者が自由に処分することができる。	については、未成年者は、その限度内で、有料無償を問わず、法律行為をすることができる。	0.7978694438934326	25.552199116069904
12	第五条　（未成年者の法律行為）　３　目的を定めないで処分を許した財	産を処分するときも、同様とする。	産に対しては、その処分は自己の名義で行わなければならない。	0.7148604989051819	2.8629993657668873
13	第六条　（未成年者の営業の許可）　１　一種又は数種の営業を許された未成年者は、その営	業に関しては、成年者と同一の行為能力を有する。	業の範囲内においては成年者と同権を有する。	0.8648393154144287	18.936588140958246
14	第六条　（未成年者の営業の許可）　２　前項の場合において、未成年者がその営業に堪えることができない事由があるときは、その法定代	理人は、第四編（親族）の規定に従い、その許可を取り消し、又はこれを制限することができる。	理人は、裁判所にその許可を取消させることを請求することができる。	0.8429326415061951	19.210273109131062
15	第七条　（後見開始の審判）　１　精神上の障害により事理を弁識する能力を欠く常況にある者については、家庭裁判所は、本人、配偶者、四親等内の親族、未成年後	見人、未成年後見監督人、保佐人、保佐監督人、補助人、補助監督人又は検察官の請求により、後見開始の審判をすることができる。	見人、又は検察官の請求により、後見開始の審判をすることができる。	0.9463798403739929	38.862648174382144
16	第八条　（成年被後見人及び成年後見人）　１　後見開始の審判を受けた者は、成年被後	見人とし、これに成年後見人を付する。	見人となる。	0.8487554788589478	8.626775877575973
17	第九条　（成年被後見人の法律行為）　１　成年被後見人の法律行為は	、取り消すことができる。	、その効力を後見人の同意を要する。	0.6583752632141113	4.456882760699063
18	第九条　（成年被後見人の法律行為）　１　ただし、日用品の購入その他日常生活に	関する行為については、この限りでない。	必要な法律行為は、この限りでない。	0.8480430841445923	53.8772222047036
