	first	answer	prediction	bert	bleu
0	第一条　（国内犯）　１　この法律は、日本国内において罪	を犯したすべての者に適用する。	を犯したすべての者に適用する。	1.0000001192092896	100.00000000000004
1	第一条　（国内犯）　２　日本国外にある日本船舶又は日本航空機内におい	て罪を犯した者についても、前項と同様とする。	て罪を犯した者についても、前項と同様とする。	1.0000001192092896	100.00000000000004
2	第二条　（すべての者の国外犯）　１　この法律は、日本国外において次に掲	げる罪を犯したすべての者に適用する。	げる罪を犯したすべての者に適用する。	0.9999998807907104	100.00000000000004
3	第三条　（国民の国外犯）　１　この法律は、日本国外において次に掲	げる罪を犯した日本国民に適用する。	げる罪を犯した日本国民に適用する。	0.9999999403953552	100.00000000000004
4	第三条の二　（国民以外の者の国外犯）　１　この法律は、日本国外において日本国民に対して次	に掲げる罪を犯した日本国民以外の者に適用する。	に掲げる罪を犯した者又は日本国の機関又は公務員に対して次に掲げる罪を犯した者に適用する。	0.8132098913192749	26.245554054129023
5	第四条　（公務員の国外犯）　１　この法律は、日本国外において次に掲げ	る罪を犯した日本国の公務員に適用する。	る罪を犯した公務員に適用する。	0.9816725850105286	61.91566827062977
6	第四条の二　（条約による国外犯）　１　第二条から前条までに規定するもののほか、この法律は、日本国外において、第二編の罪であって条約によ	り日本国外において犯したときであっても罰すべきものとされているものを犯したすべての者に適用する。	り国外での犯行を究明することを日本国が認可した罪を犯した日本国民又は日本国内に入国した外国人に適用する。	0.7584140300750732	10.72857464340127
7	第五条　（外国判決の効力）　１　外国において確定裁判を受けた者であっても、同	一の行為について更に処罰することを妨げない。	一罪に対しては、この法律の規定に従って刑罰又は保安処分を科することができる。	0.6788949370384216	2.449932250423938
8	第五条　（外国判決の効力）　１　ただし、犯人が既に外国において言い渡された刑の全部又は一	部の執行を受けたときは、刑の執行を減軽し、又は免除する。	部を執行したときは、その刑を執行したことを減罪に算入する。	0.8313208222389221	15.600982215771559
9	第六条　（刑の変更）　１　犯罪後の法律によって刑の変更があ	ったときは、その軽いものによる。	ったときは、その刑による。ただし、旧法によるほうが刑が軽いときは、その刑による。	0.7393954992294312	21.50000380281418
10	第七条　（定義）　１　この法律において「公務員」とは、国又は地方公共団体の職員そ	の他法令により公務に従事する議員、委員その他の職員をいう。	の他、国又は地方公共団体の委託を受けて公務を執行する者をいう。	0.750867486000061	9.364337313929381
11	第七条　（定義）　２　この法律において「公務所」とは、官公	庁その他公務員が職務を行う所をいう。	庁及びそれ等の職員がその職務を行う所をいう。	0.8539028763771057	43.74811431224644
12	第七条の二　　１　この法律において「電磁的記録」とは、電子的方式、磁気的方式その他人の知覚によっては認識する	ことができない方式で作られる記録であって、電子計算機による情報処理の用に供されるものをいう。	ことができない方式により記録された情報をいう。	0.8993549346923828	14.011382557369982
13	第八条　（他の法令の罪に対する適用）　１　この編の規定は、他の法令	の罪についても、適用する。	により罪とされる行為に対して準用する。	0.7683511972427368	7.768562846380176
14	第八条　（他の法令の罪に対する適用）　１　ただし、その法令に特別の規定	があるときは、この限りでない。	があるときは、この限りではない。	0.9777069091796875	74.19446627365011
15	第九条　（刑の種類）　１　死刑、懲役、禁錮、罰金、拘留及び科	料を主刑とし、没収を付加刑とする。	料を刑とする。	0.8905531167984009	18.817320787862926
